img;act_class
IMG_20160623_140859.jpg;wool, woolen, woollen, stole, mitten, poncho, handkerchief, hankie, hanky, hankey
IMG_20160707_131342.jpg;ping-pong ball, notebook, notebook computer, laptop, laptop computer, ice lolly, lolly, lollipop, popsicle, drumstick
IMG_20160531_143739357.jpg;volcano, valley, vale, alp, lakeside, lakeshore, promontory, headland, head, foreland
2016-07-08 20.23.44.jpg;dining table, board, refrigerator, icebox, folding chair, toilet seat, carton
IMG_20150722_184142.jpg;stage, scoreboard, freight car, jigsaw puzzle, radio, wireless
485130_485008568210421_1818953021_n.jpg;pillow, purse, wallet, billfold, notecase, pocketbook, handkerchief, hankie, hanky, hankey, pencil box, pencil case
12106807_985340161530847_5347170002040571192_n.jpg;refrigerator, icebox, lab coat, laboratory coat, microwave, microwave oven, bookshop, bookstore, bookstall, photocopier
bicycle-on-the-city-street-23222-1920x1200.jpg;moped, parking meter, motor scooter, scooter, beer bottle, crash helmet
2016-06-24 16.37.37.jpg;impala, Aepyceros melampus, Rhodesian ridgeback, Ibizan hound, Ibizan Podenco, vizsla, Hungarian pointer, malinois
20160720_075849-1.jpg;water snake, alp, sea snake, sandbar, sand bar, albatross, mollymawk
Screenshot_2016-07-20-11-27-30-1.png;tarantula, gibbon, Hylobates lar, titi, titi monkey, tabby, tabby cat, Madagascar cat, ring-tailed lemur, Lemur catta
IMG_1403.JPG;gondola, jinrikisha, ricksha, rickshaw, motor scooter, scooter, streetcar, tram, tramcar, trolley, trolley car, horse cart, horse-cart
2016-06-29 19.58.11.jpg;laptop, laptop computer, notebook, notebook computer, computer keyboard, keypad, typewriter keyboard, space bar
bauhaus gelb.jpg;bookcase, monitor, library, digital clock, window shade
IMG_20160329_222402945.jpg;dining table, board, grand piano, grand, desk, studio couch, day bed, four-poster
20150830_181302.jpg;lakeside, lakeshore, seashore, coast, seacoast, sea-coast, castle, jeep, landrover, breakwater, groin, groyne, mole, bulwark, seawall, jetty
2015-10-18 10.27.22.jpg;dumbbell, cannon, barber chair, cleaver, meat cleaver, chopper, grand piano, grand
Screenshot_2016-07-20-11-25-10-1.png;schipperke, Boston bull, Boston terrier, Scotch terrier, Scottish terrier, Scottie, groenendael, tub, vat
IMG_20151017_095054058_HDR.jpg;window shade, sliding door, window screen, patio, terrace, shoji
25282615.jpg;lakeside, lakeshore, breakwater, groin, groyne, mole, bulwark, seawall, jetty, dam, dike, dyke, sandbar, sand bar, suspension bridge
IMG_20160629_152357.jpg;tabby, tabby cat, Egyptian cat, tiger cat, lynx, catamount, Persian cat
2015-11-01 00.33.05.jpg;upright, upright piano, accordion, piano accordion, squeeze box, gas pump, gasoline pump, petrol pump, island dispenser, mailbox, letter box, kimono
20160718_180108.jpg;mud turtle, terrapin, indigo bunting, indigo finch, indigo bird, Passerina cyanea, jay, snail
Screenshot_2016-07-20-11-25-45-1.png;fur coat, trench coat, poncho, cloak, suit, suit of clothes
tumblr_mb7lvprocS1rsagu3o1_1280.jpg;military uniform, trench coat, suit, suit of clothes, miniskirt, mini, fur coat
IMG_20141130_105816501_HDR.jpg;lumbermill, sawmill, megalith, megalithic structure, jeep, landrover, half track, plow, plough
Screenshot_2016-07-20-11-26-21-1.png;sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita, American egret, great white heron, Egretta albus, hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa, conch, plastic bag
2015-02-11 15.51.04.jpg;dogsled, dog sled, dog sleigh, bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis, coyote, prairie wolf, brush wolf, Canis latrans, Weimaraner, impala, Aepyceros melampus
Screenshot_2016-07-20-11-25-25-1.png;cougar, puma, catamount, mountain lion, painter, panther, Felis concolor, lynx, catamount, Egyptian cat, tabby, tabby cat, Siamese cat, Siamese
aawPTJavJ80.jpg;golf ball, baseball, acorn, tennis ball, soccer ball
diploma.jpg;power drill, rifle, revolver, six-gun, six-shooter, assault rifle, assault gun, hammer
10506788_10152544744898376_6668056379171688052_o_800.jpg;pickelhaube, military uniform, tank, army tank, armored combat vehicle, armoured combat vehicle, megalith, megalithic structure, stone wall
2015-08-19 13.00.06.jpg;trifle, bakery, bakeshop, bakehouse, cheeseburger, potpie, plate
IMG_20160602_144636707.jpg;cliff, drop, drop-off, valley, vale, volcano, alp, stupa, tope
47513286cde53d34a320eb94a99389ff.jpg;komondor, knot, grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus, otter, sea lion
4.PNG;vase, pitcher, ewer, necklace, sundial, toilet tissue, toilet paper, bathroom tissue
2015-08-15 14.30.49.jpg;valley, vale, cliff, drop, drop-off, rapeseed, lakeside, lakeshore, volcano
FB_IMG_1422957248380.jpg;coral reef, stone wall, green lizard, Lacerta viridis, gar, garfish, garpike, billfish, Lepisosteus osseus, fountain
IMG_20150125_111244755.jpg;sliding door, mosquito net, window screen, bannister, banister, balustrade, balusters, handrail, window shade
IMG_20150704_190120452_HDR.jpg;minibus, trolleybus, trolley coach, trackless trolley, recreational vehicle, RV, R.V., limousine, limo, garbage truck, dustcart
IMG_20160701_122849.jpg;stole, mitten, wool, woolen, woollen, poncho, bonnet, poke bonnet
Screenshot_2016-07-20-11-26-51-1.png;slug, eft, common newt, Triturus vulgaris, thunder snake, worm snake, Carphophis amoenus, tick
2016-06-24 16.38.05.jpg;impala, Aepyceros melampus, gazelle, Rhodesian ridgeback, malinois, hartebeest
IMG_20160717_201947617.jpg;knee pad, mask, gasmask, respirator, gas helmet, loudspeaker, speaker, speaker unit, loudspeaker system, speaker system, cowboy boot
3432610-1000-1446444849comment_pngkZ7y3otB9J0WJmTBEYYcmM3S6Tydz.jpg;grasshopper, hopper, cricket, leafhopper, pole, trimaran
cat1.png;tabby, tabby cat, Egyptian cat, tiger cat, lynx, catamount, carton
Screenshot_2016-07-20-11-25-30-1.png;Lakeland terrier, Scotch terrier, Scottish terrier, Scottie, cocker spaniel, English cocker spaniel, cocker, standard schnauzer, lynx, catamount
kbXsNpr_51A.jpg;seat belt, seatbelt, neck brace, cowboy hat, ten-gallon hat, sunscreen, sunblock, sun blocker, bathing cap, swimming cap
2016-07-08 19.18.39.jpg;brass, memorial tablet, plaque, crossword puzzle, crossword, palace, prison, prison house, scoreboard
2015-02-11 15.50.44.jpg;dogsled, dog sled, dog sleigh, ski, worm fence, snake fence, snake-rail fence, Virginia fence, alp, coyote, prairie wolf, brush wolf, Canis latrans
IMG_20160514_161144955.jpg;washbasin, handbasin, washbowl, lavabo, wash-hand basin, washer, automatic washer, washing machine, microwave, microwave oven, paper towel, photocopier
2015-09-21 22.11.09.jpg;bib, trifle, ice cream, icecream, toilet seat, diaper, nappy, napkin
IMG_20141201_162820001.jpg;dock, dockage, docking facility, seashore, coast, seacoast, sea-coast, container ship, containership, container vessel, golfcart, golf cart, dam, dike, dyke
IMG_20150907_212721956.jpg;mountain bike, all-terrain bike, off-roader, tricycle, trike, velocipede, bicycle-built-for-two, tandem bicycle, tandem, disk brake, disc brake, moped
Nick-Bostrom-v7-1200x670.jpg;bow tie, bow-tie, bowtie, bathing cap, swimming cap, harmonica, mouth organ, harp, mouth harp, sunglasses, dark glasses, shades, suit, suit of clothes
