img;act_class
IMG_3491.jpg;fountain, ocarina, sweet potato, lab coat, laboratory coat, cornet, horn, trumpet, trump, trombone
2015-11-01 00.31.44.jpg;comic book, packet, jigsaw puzzle, laptop, laptop computer, binder, ring-binder
IMG_4973.jpg;wine bottle, beer bottle, cello, violoncello, pop bottle, soda bottle, library
IMG_4931.jpg;accordion, piano accordion, squeeze box, violin, fiddle, tricycle, trike, velocipede, crutch, trombone
IMG_5071.JPG;microphone, mike, projector, French horn, horn, spotlight, spot, crutch
ddaa.jpg;balance beam, beam, magpie, water ouzel, dipper, rhinoceros beetle, corkscrew, bottle screw
IMG_5422.JPG;stage, steel drum, electric guitar, laptop, laptop computer, bassoon
IMG_5203.JPG;vacuum, vacuum cleaner, violin, fiddle, notebook, notebook computer, bow, cello, violoncello
IMG_4743.jpg;bubble, motor scooter, scooter, flute, transverse flute, cello, violoncello, oboe, hautboy, hautbois
IMG_5327.JPG;swab, swob, mop, barbell, punching bag, punch bag, punching ball, punchball, plunger, plumber's helper, pool table, billiard table, snooker table
IMG_3818.jpg;triumphal arch, palace, church, church building, monastery, altar
2015-03-07 18.50.44.jpg;dumbbell, toilet tissue, toilet paper, bathroom tissue, Band Aid, padlock, switch, electric switch, electrical switch
2015-03-07 18.50.15.jpg;Band Aid, syringe, seat belt, seatbelt, hourglass, bow tie, bow-tie, bowtie
IMG_3183.jpg;barbershop, shopping cart, bow tie, bow-tie, bowtie, banjo, cowboy hat, ten-gallon hat
IMG_4433.jpg;mortarboard, bathing cap, swimming cap, stage, academic gown, academic robe, judge's robe, football helmet
IMG_3799.jpg;umbrella, crutch, prison, prison house, bubble, stretcher
IMG_5007.jpg;desktop computer, marimba, xylophone, laptop, laptop computer, desk, steel drum
IMG_4565.jpg;throne, bannister, banister, balustrade, balusters, handrail, altar, church, church building, organ, pipe organ
ddafd.jpg;sax, saxophone, mountain bike, all-terrain bike, off-roader, fountain, bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis, assault rifle, assault gun
IMG_5235.JPG;home theater, home theatre, cinema, movie theater, movie theatre, movie house, picture palace, desktop computer, monitor, television, television system
IMG_4960.jpg;patio, terrace, sliding door, prison, prison house, cinema, movie theater, movie theatre, movie house, picture palace, forklift
IMG_20150108_152018643_HDR.jpg;miniature pinscher, Airedale, Airedale terrier, EntleBucher, Rottweiler, Bernese mountain dog
IMG_3353.jpg;dumbbell, barbell, crutch, rocking chair, rocker, sliding door
IMG_4159.jpg;fur coat, poncho, throne, trench coat, kimono
2015-02-27 15.42.59.jpg;toilet tissue, toilet paper, bathroom tissue, toilet seat, switch, electric switch, electrical switch, hand blower, blow dryer, blow drier, hair dryer, hair drier, soap dispenser
IMG_4702.jpg;barrow, garden cart, lawn cart, wheelbarrow, brass, memorial tablet, plaque, barrel, cask, buckle, Loafer
IMG_5310.JPG;tricycle, trike, velocipede, unicycle, monocycle, sax, saxophone, punching bag, punch bag, punching ball, punchball, stage
adf.jpeg;gasmask, respirator, gas helmet, radiator, trench coat, oboe, hautboy, hautbois, suit, suit of clothes
IMG_5055.JPG;restaurant, eating house, eating place, eatery, dining table, board, desk, desktop computer, steel drum
IMG_5421.JPG;traffic light, traffic signal, stoplight, bubble, projector, loudspeaker, speaker, speaker unit, loudspeaker system, speaker system, punching bag, punch bag, punching ball, punchball
IMG_4946.jpg;palace, monastery, mosque, triumphal arch, dome
IMG_5031.JPG;sewing machine, projector, power drill, revolver, six-gun, six-shooter, printer
20141130_195703.jpg;football helmet, harmonica, mouth organ, harp, mouth harp, acoustic guitar, power drill, tripod
IMG_4723.jpg;carousel, carrousel, merry-go-round, roundabout, whirligig, maypole, palace, stage, church, church building
IMG_5077.JPG;bassoon, marimba, xylophone, oboe, hautboy, hautbois, cello, violoncello, laptop, laptop computer
IMG_5301.JPG;planetarium, patio, terrace, pool table, billiard table, snooker table, prison, prison house, restaurant, eating house, eating place, eatery
IMG_4621.jpg;gondola, swing, carousel, carrousel, merry-go-round, roundabout, whirligig, pirate, pirate ship, pole
IMG_5299.JPG;restaurant, eating house, eating place, eatery, library, grocery store, grocery, food market, market, wall clock, shoe shop, shoe-shop, shoe store
IMG_3096.jpg;basketball, pay-phone, pay-station, swab, swob, mop, plunger, plumber's helper, street sign
bosna1.jpg;mailbox, letter box, birdhouse, boathouse, ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin, barn
IMG_3158.jpg;home theater, home theatre, cinema, movie theater, movie theatre, movie house, picture palace, four-poster, desktop computer, barbershop
IMG_3314.jpg;bassoon, flute, transverse flute, mortarboard, trombone, folding chair
IMG_332679765605679.jpeg;bonnet, poke bonnet, buckle, triceratops, mask, isopod
IMG_3355.jpg;crutch, sliding door, home theater, home theatre, vacuum, vacuum cleaner, rocking chair, rocker
IMG_4942.jpg;cinema, movie theater, movie theatre, movie house, picture palace, monastery, palace, restaurant, eating house, eating place, eatery, church, church building
IMG_3757.jpg;umbrella, military uniform, kimono, academic gown, academic robe, judge's robe, knee pad
IMG_5075.JPG;projector, television, television system, desktop computer, spotlight, spot, home theater, home theatre
IMG_3865.jpg;park bench, obelisk, fountain, totem pole, motor scooter, scooter
2016-07-13 19.17.05.jpg;prison, prison house, bannister, banister, balustrade, balusters, handrail, ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin, grand piano, grand, ladle
IMG_3282.jpg;cinema, movie theater, movie theatre, movie house, picture palace, stage, restaurant, eating house, eating place, eatery, home theater, home theatre, theater curtain, theatre curtain
IMG_5120.JPG;wine bottle, beer bottle, red wine, window shade, padlock
IMG_5149.JPG;acoustic guitar, cello, violoncello, motor scooter, scooter, electric guitar, violin, fiddle
IMG_5136.JPG;monitor, screen, CRT screen, window screen, television, television system, loudspeaker, speaker, speaker unit, loudspeaker system, speaker system
IMG_3391.jpg;mask, pay-phone, pay-station, punching bag, punch bag, punching ball, punchball, reflex camera, sunglasses, dark glasses, shades
IMG_9776.jpg;pole, suspension bridge, crutch, chainlink fence, valley, vale
IMG_5212.JPG;home theater, home theatre, projector, desktop computer, cinema, movie theater, movie theatre, movie house, picture palace, guillotine
tumblr_nswl64fJSJ1s8prj4o1_1280.jpg;accordion, piano accordion, squeeze box, violin, fiddle, drum, membranophone, tympan, shoji, folding chair
adda.jpg;starfish, sea star, scorpion, common newt, Triturus vulgaris, banded gecko, mantis, mantid
IMG_3248.jpg;sax, saxophone, groom, bridegroom, vestment, bow tie, bow-tie, bowtie, cornet, horn, trumpet, trump
IMG_5407.JPG;desktop computer, television, television system, oboe, hautboy, hautbois, monitor, stage
IMG_4440.jpg;stage, mask, planetarium, cowboy hat, ten-gallon hat, bow tie, bow-tie, bowtie
IMG_4901.jpg;palace, monastery, church, church building, castle, fountain
Screenshot_2016-07-20-11-26-29-1.png;Egyptian cat, Siamese cat, Siamese, bow tie, bow-tie, bowtie, Chihuahua, Boston bull, Boston terrier
IMG_3474.jpg;torch, crutch, bow tie, bow-tie, bowtie, steel drum, oboe, hautboy, hautbois
IMG_3546.jpg;sombrero, kimono, cowboy hat, ten-gallon hat, gasmask, respirator, gas helmet, stole
IMG_4846.jpg;monastery, palace, church, church building, vault, prison, prison house
imagdaes.jpeg;military uniform, accordion, piano accordion, squeeze box, bearskin, busby, shako, parking meter, trench coat
IMG_20150722_182131.jpg;wine bottle, radiator, crossword puzzle, crossword, abacus, computer keyboard, keypad
kyRrpwuXm9I.jpg;flatworm, platyhelminth, sea slug, nudibranch, starfish, sea star, anemone fish, snail
IMG_4175.jpg;harmonica, mouth organ, harp, mouth harp, banjo, French horn, horn, sax, saxophone, bow tie, bow-tie, bowtie
IMG_3331.jpg;wine bottle, mortar, knee pad, drumstick, gasmask, respirator, gas helmet
IMG_5186.JPG;cello, violoncello, mortarboard, oboe, hautboy, hautbois, academic gown, academic robe, judge's robe, violin, fiddle
IMG_20141117_175301327.jpg;park bench, church, church building, barn, fountain, suspension bridge
IMG_4653.jpg;suspension bridge, prison, prison house, bannister, banister, balustrade, balusters, handrail, church, church building, spider web, spider's web
IMG_4681.jpg;steel arch bridge, church, church building, vault, viaduct, triumphal arch
IMG_20150108_124638428.jpg;dam, dike, dyke, valley, vale, suspension bridge, alp, viaduct
P_Monterosso_seaside.jpg;nematode, nematode worm, roundworm, spotlight, spot, theater curtain, theatre curtain, velvet, window screen
IMG_5079.JPG;bassoon, cello, violoncello, violin, fiddle, oboe, hautboy, hautbois, folding chair
IMG_5150.JPG;acoustic guitar, cello, violoncello, violin, fiddle, motor scooter, scooter, lawn mower, mower
IMG_4969.jpg;groom, bridegroom, sax, saxophone, stage, cornet, horn, trumpet, trump, kimono
IMG_5393.JPG;restaurant, eating house, eating place, eatery, stage, altar, electric guitar, marimba, xylophone
eileen_05.jpg;fountain, totem pole, vulture, stupa, tope, crane
IMG_20160628_132401.jpg;tarantula, leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea, triceratops, scorpion, Kerry blue terrier
IMG_20160601_143735105.jpg;palace, castle, triumphal arch, monastery, church, church building
aadf.jpeg;unicycle, monocycle, soccer ball, tripod, seashore, coast, seacoast, sea-coast, parachute, chute
IMG_3828.jpg;mortarboard, oboe, hautboy, hautbois, trombone, academic gown, academic robe, judge's robe, cornet, horn, trumpet, trump
IMG_5036.JPG;wine bottle, beer bottle, steel drum, cello, violoncello, pop bottle, soda bottle
IMG_4706.jpg;nail, park bench, chain, padlock, mailbox, letter box
IMG_4984.jpg;gasmask, respirator, gas helmet, trench coat, cloak, military uniform, ski mask
inadfadex.jpeg;cloak, grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus, eel, killer whale, killer, orca, grampus, sea wolf, Orcinus orca, red-breasted merganser, Mergus serrator
IMG_4919.jpg;cello, violoncello, vestment, violin, fiddle, oboe, hautboy, hautbois, crutch
IMG_3821.jpg;dome, vault, greenhouse, nursery, glasshouse, prison, prison house, analog clock
IMG_3946.jpg;turnstile, restaurant, eating house, eating place, eatery, barbershop, accordion, piano accordion, squeeze box, shoji
IMG_4869.jpg;throne, radiator, organ, pipe organ, fur coat, zebra
IMG_3750.jpg;umbrella, park bench, pinwheel, maze, labyrinth, shovel
dadc.jpeg;rugby ball, soccer ball, academic gown, academic robe, judge's robe, knee pad, football helmet
IMG_4435.jpg;fountain, tripod, binoculars, field glasses, opera glasses, stage, torch
